Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
0.5,0.6000000000000001,0.6000000000000001,0.6666666666666667,0.6666666666666667,0.8571428571428572,0.6666666666666667,0.8571428571428572,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.875,0.7142857142857142,0.875,0.75,0.8,0.8,0.8,0.8,0.8333333333333333
0.6000000000000001,0.3999999999999999,0.6666666666666667,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714,0.5714285714285714,0.625,0.7,0.7,0.7,0.7,0.75
0.6000000000000001,0.6666666666666667,0.3999999999999999,0.7142857142857142,0.5,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.75,0.75,0.75,0.8888888888888888,0.75,0.75,0.7777777777777777,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8461538461538463
0.6666666666666667,0.5,0.7142857142857142,0.33333333333333326,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.625,0.625,0.625,0.7777777777777777,0.625,0.625,0.6666666666666667,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7692307692307692
0.6666666666666667,0.5,0.5,0.5714285714285714,0.33333333333333326,0.75,0.5714285714285714,0.5714285714285714,0.625,0.625,0.625,0.625,0.625,0.7777777777777777,0.6666666666666667,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7692307692307692
0.8571428571428572,0.5,0.7142857142857142,0.5714285714285714,0.75,0.33333333333333326,0.75,0.5714285714285714,0.4285714285714286,0.625,0.7777777777777777,0.625,0.625,0.625,0.6666666666666667,0.7272727272727273,0.8333333333333333,0.7272727272727273,0.8333333333333333,0.7692307692307692
0.6666666666666667,0.5,0.7142857142857142,0.5714285714285714,0.5714285714285714,0.75,0.33333333333333326,0.5714285714285714,0.625,0.625,0.625,0.625,0.625,0.7777777777777777,0.6666666666666667,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7692307692307692
0.8571428571428572,0.5,0.7142857142857142,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.33333333333333326,0.625,0.625,0.625,0.625,0.625,0.625,0.6666666666666667,0.7272727272727273,0.8333333333333333,0.7272727272727273,0.7272727272727273,0.7692307692307692
0.7142857142857142,0.5714285714285714,0.75,0.625,0.625,0.4285714285714286,0.625,0.625,0.2857142857142858,0.5,0.6666666666666667,0.5,0.5,0.6666666666666667,0.5555555555555556,0.6363636363636365,0.75,0.6363636363636365,0.75,0.6923076923076923
0.7142857142857142,0.5714285714285714,0.75,0.625,0.625,0.625,0.625,0.625,0.5,0.2857142857142858,0.6666666666666667,0.5,0.5,0.6666666666666667,0.5555555555555556,0.6363636363636365,0.75,0.6363636363636365,0.75,0.6923076923076923
0.7142857142857142,0.5714285714285714,0.75,0.625,0.625,0.7777777777777777,0.625,0.625,0.6666666666666667,0.6666666666666667,0.2857142857142858,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7,0.75,0.6363636363636365,0.75,0.75,0.7857142857142858
0.875,0.75,0.8888888888888888,0.7777777777777777,0.625,0.625,0.625,0.625,0.5,0.5,0.6666666666666667,0.2857142857142858,0.5,0.6666666666666667,0.5555555555555556,0.6363636363636365,0.75,0.6363636363636365,0.75,0.6923076923076923
0.7142857142857142,0.5714285714285714,0.75,0.625,0.625,0.625,0.625,0.625,0.5,0.5,0.6666666666666667,0.5,0.2857142857142858,0.6666666666666667,0.5555555555555556,0.6363636363636365,0.75,0.6363636363636365,0.75,0.6923076923076923
0.875,0.5714285714285714,0.75,0.625,0.7777777777777777,0.625,0.7777777777777777,0.625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2857142857142858,0.7,0.6363636363636365,0.8461538461538463,0.75,0.8461538461538463,0.7857142857142858
0.75,0.625,0.7777777777777777,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5555555555555556,0.5555555555555556,0.7,0.5555555555555556,0.5555555555555556,0.7,0.25,0.6666666666666667,0.7692307692307692,0.6666666666666667,0.7692307692307692,0.7142857142857142
0.8,0.7,0.8181818181818181,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636365,0.6363636363636365,0.75,0.6363636363636365,0.6363636363636365,0.6363636363636365,0.6666666666666667,0.19999999999999996,0.7142857142857142,0.7142857142857142,0.8,0.75
0.8,0.7,0.8181818181818181,0.7272727272727273,0.7272727272727273,0.8333333333333333,0.7272727272727273,0.8333333333333333,0.75,0.75,0.6363636363636365,0.75,0.75,0.8461538461538463,0.7692307692307692,0.7142857142857142,0.19999999999999996,0.7142857142857142,0.7142857142857142,0.5714285714285714
0.8,0.7,0.8181818181818181,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636365,0.6363636363636365,0.75,0.6363636363636365,0.6363636363636365,0.75,0.6666666666666667,0.7142857142857142,0.7142857142857142,0.19999999999999996,0.36363636363636354,0.46153846153846145
0.8,0.7,0.8181818181818181,0.7272727272727273,0.7272727272727273,0.8333333333333333,0.7272727272727273,0.7272727272727273,0.75,0.75,0.75,0.75,0.75,0.8461538461538463,0.7692307692307692,0.8,0.7142857142857142,0.36363636363636354,0.19999999999999996,0.5714285714285714
0.8333333333333333,0.75,0.8461538461538463,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.6923076923076923,0.6923076923076923,0.7857142857142858,0.6923076923076923,0.6923076923076923,0.7857142857142858,0.7142857142857142,0.75,0.5714285714285714,0.46153846153846145,0.5714285714285714,0.16666666666666674
